ID,Sản phẩm,Thương hiệu,Nguồn,Link,Loại SP,Khối lượng tịnh,Giá niêm yết (VND),Phí ship (VND),Ngưỡng Freeship (VND),Địa phương,HTML,Ngày Thêm,Tình trạng Giá,TMĐT
ID000,Cà phê Robusta Honey nguyên chất rang mộc 100%,Message Coffee,messagecoffee.com,https://messagecoffee.com/products/ca-phe-robusta-honey-nguyen-chat-rang-moc-100-vi-dang-dam-hau-ngot-thom-nong-dung-pha-phin-pha-may-tu-message-coffee,Robusta Honey,200 g,"88,000","22,000 - 35,000","300,000",Toàn quốc,"<span class=product-price>88,000₫</span>",2025-07-11,Lỗi,Không rõ
ID001,Cà phê Arabica Cầu Đất nguyên chất 100%,Message Coffee,messagecoffee.com,https://messagecoffee.com/products/ca-phe-arabica-cau-dat-nguyen-chat-100-hau-vi-ngot-thom-quyen-ru-goi-500g-pha-may-cold-brew-va-drip-tu-message-coffee,Arabica Cầu Đất,200 g,"110,000","22,000 - 35,000","300,000",Toàn quốc,"<div class=product-price><span class=product-price__reduced>110,000₫</span></div>",2025-07-11,Lỗi,Không rõ
ID002,Cà Phê Nguyên Chất Mashup,TaynguyenSoul,taynguyensoul.vn,https://taynguyensoul.vn/san-pham/ca-phe-rang-xay-nguyen-chat-mashup/,Blend Robusta & Arabica,250 g,"132,000",Theo ĐVVC,"589,000",Toàn quốc,<ins><span class=woocommerce-Price-amount amount><bdi>132.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins>,2025-07-11,Mới,Không rõ
ID003,Cà Phê Nguyên Chất Đậm Mạnh High Caffeine Power,TaynguyenSoul,taynguyensoul.vn,https://taynguyensoul.vn/san-pham/ca-phe-nguyen-chat-dam-manh-high-caffeine-power/,Robusta Gia Lai,250 g,"145,000",Theo ĐVVC,"589,000",Toàn quốc,<p class=price><ins><span class=woocommerce-Price-amount amount><bdi>145.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>,2025-07-11,Mới,Không rõ
ID004,Gói 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-specialty-coffee-eatu-cafe-100-robusta-goi-rang-xay-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,<p class=price><ins><span class=woocommerce-Price-amount amount><bdi>210.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>,2025-07-11,Lỗi,Không rõ
ID005,Gói 250g Cà Phê rang xay Mộc Nguyên Chất Robusta mix Arabica,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-bot-nguyen-chat-robusta-ket-hop-arabica-250g/,Blend 80% Robusta & 20% Arabica,250 g,"90,000",Theo ĐVVC,"500,000",Toàn quốc,p.price .woocommerce-Price-amount.amount,2025-07-11,Đã,Không rõ
ID006,Cà phê Sáng Tạo 5,Trung Nguyên Legend,trungnguyenlegendcafe.net,https://trungnguyenlegendcafe.net/san-pham/ca-phe-sang-tao-5/,Culi Arabica,340 g,"180,000","15,000 - 30,000","200,000",Toàn quốc,<span class=price><span class=woocommerce-Price-amount amount><bdi>180.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></span>,2025-07-11,Mới,Không rõ
ID007,Cà phê Sáng Tạo 8 – 500gr,Trung Nguyên Legend,trungnguyenlegendcafe.net,https://trungnguyenlegendcafe.net/san-pham/ca-phe-sang-tao-8-500gr/,"Blend Arabica, Robusta",500 g,"625,000","15,000 - 30,000","200,000",Toàn quốc,<span class=price><span class=woocommerce-Price-amount amount><bdi>625.000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></span>,2025-07-11,Mới,Không rõ
ID008,Cà phê đặc sản ARABICA LẠC DƯƠNG,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-dac-san-arabica-lac-duong,Arabica Lạc Dương,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>110.000₫</span>,2025-07-11,Đã,Không rõ
ID010,Cà phê bột rang mộc Guta cafe gói 250gr,Guta Cafe,gutacafe.vn,https://gutacafe.vn/shop/ca-phe-bot-rang-moc-guta-cafe-goi-250gr/,"Blend 80% Robusta, 20% Arabica",250 g,"80,750",Theo ĐVVC,Không rõ,Toàn quốc,<ins><span class=woocommerce-Price-amount amount><bdi>80.750&nbsp;<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins>,2025-07-11,Mới,Không rõ
